Station,Datetime,CrowdLevel
EW32,2025-07-17 07:30:00+08:00,l
EW32,2025-07-17 08:00:00+08:00,l
EW32,2025-07-17 08:30:00+08:00,l
EW32,2025-07-17 09:00:00+08:00,l
EW32,2025-07-17 09:30:00+08:00,l
EW32,2025-07-17 10:00:00+08:00,l
EW32,2025-07-17 10:30:00+08:00,l
EW32,2025-07-17 11:00:00+08:00,l
EW32,2025-07-17 11:30:00+08:00,l
EW32,2025-07-17 12:00:00+08:00,l
EW32,2025-07-17 12:30:00+08:00,l
EW32,2025-07-17 13:00:00+08:00,l
EW32,2025-07-17 13:30:00+08:00,l
EW32,2025-07-17 14:00:00+08:00,l
EW32,2025-07-17 14:30:00+08:00,l
EW32,2025-07-17 15:00:00+08:00,l
EW32,2025-07-17 15:30:00+08:00,l
EW32,2025-07-17 16:00:00+08:00,l
EW32,2025-07-17 16:30:00+08:00,l
EW32,2025-07-17 17:00:00+08:00,l
EW32,2025-07-17 17:30:00+08:00,l
EW32,2025-07-17 18:00:00+08:00,l
EW32,2025-07-17 18:30:00+08:00,l
EW32,2025-07-17 19:00:00+08:00,l
EW32,2025-07-17 19:30:00+08:00,l
EW32,2025-07-17 20:00:00+08:00,l
EW32,2025-07-17 20:30:00+08:00,l
EW32,2025-07-17 21:00:00+08:00,l
EW32,2025-07-17 21:30:00+08:00,l
EW32,2025-07-17 22:00:00+08:00,l
EW32,2025-07-17 22:30:00+08:00,l
EW32,2025-07-17 23:00:00+08:00,l
EW32,2025-07-17 23:30:00+08:00,l
EW33,2025-07-17 00:00:00+08:00,l
EW33,2025-07-17 00:30:00+08:00,l
EW33,2025-07-17 01:00:00+08:00,l
EW33,2025-07-17 01:30:00+08:00,l
EW33,2025-07-17 02:00:00+08:00,l
EW33,2025-07-17 02:30:00+08:00,l
EW33,2025-07-17 03:00:00+08:00,l
EW33,2025-07-17 03:30:00+08:00,l
EW33,2025-07-17 04:00:00+08:00,l
EW33,2025-07-17 04:30:00+08:00,l
EW33,2025-07-17 05:00:00+08:00,l
EW33,2025-07-17 05:30:00+08:00,l
EW33,2025-07-17 06:00:00+08:00,l
EW33,2025-07-17 06:30:00+08:00,l
EW33,2025-07-17 07:00:00+08:00,l
EW33,2025-07-17 07:30:00+08:00,l
EW33,2025-07-17 08:00:00+08:00,l
EW33,2025-07-17 08:30:00+08:00,l
EW33,2025-07-17 09:00:00+08:00,l
EW33,2025-07-17 09:30:00+08:00,l
EW33,2025-07-17 10:00:00+08:00,l
EW33,2025-07-17 10:30:00+08:00,l
EW33,2025-07-17 11:00:00+08:00,l
EW33,2025-07-17 11:30:00+08:00,l
EW33,2025-07-17 12:00:00+08:00,l
EW33,2025-07-17 12:30:00+08:00,l
EW33,2025-07-17 13:00:00+08:00,l
EW33,2025-07-17 13:30:00+08:00,l
EW33,2025-07-17 14:00:00+08:00,l
EW33,2025-07-17 14:30:00+08:00,l
EW33,2025-07-17 15:00:00+08:00,l
EW33,2025-07-17 15:30:00+08:00,l
EW33,2025-07-17 16:00:00+08:00,l
EW33,2025-07-17 16:30:00+08:00,l
EW33,2025-07-17 17:00:00+08:00,l
EW33,2025-07-17 17:30:00+08:00,l
EW33,2025-07-17 18:00:00+08:00,l
EW33,2025-07-17 18:30:00+08:00,l
EW33,2025-07-17 19:00:00+08:00,l
EW33,2025-07-17 19:30:00+08:00,l
EW33,2025-07-17 20:00:00+08:00,l
EW33,2025-07-17 20:30:00+08:00,l
EW33,2025-07-17 21:00:00+08:00,l
EW33,2025-07-17 21:30:00+08:00,l
EW33,2025-07-17 22:00:00+08:00,l
EW33,2025-07-17 22:30:00+08:00,l
EW33,2025-07-17 23:00:00+08:00,l
EW33,2025-07-17 23:30:00+08:00,l
EW4,2025-07-17 00:00:00+08:00,l
EW4,2025-07-17 00:30:00+08:00,l
EW4,2025-07-17 01:00:00+08:00,l
EW4,2025-07-17 01:30:00+08:00,l
EW4,2025-07-17 02:00:00+08:00,l
EW4,2025-07-17 02:30:00+08:00,l
EW4,2025-07-17 03:00:00+08:00,l
EW4,2025-07-17 03:30:00+08:00,l
EW4,2025-07-17 04:00:00+08:00,l
EW4,2025-07-17 04:30:00+08:00,l
EW4,2025-07-17 05:00:00+08:00,l
EW4,2025-07-17 05:30:00+08:00,l
EW4,2025-07-17 06:00:00+08:00,l
EW4,2025-07-17 06:30:00+08:00,l
EW4,2025-07-17 07:00:00+08:00,l
EW4,2025-07-17 07:30:00+08:00,m
EW4,2025-07-17 08:00:00+08:00,m
EW4,2025-07-17 08:30:00+08:00,m
EW4,2025-07-17 09:00:00+08:00,m
EW4,2025-07-17 09:30:00+08:00,l
EW4,2025-07-17 10:00:00+08:00,l
EW4,2025-07-17 10:30:00+08:00,l
EW4,2025-07-17 11:00:00+08:00,l
EW4,2025-07-17 11:30:00+08:00,l
EW4,2025-07-17 12:00:00+08:00,l
EW4,2025-07-17 12:30:00+08:00,l
EW4,2025-07-17 13:00:00+08:00,l
EW4,2025-07-17 13:30:00+08:00,l
EW4,2025-07-17 14:00:00+08:00,l
EW4,2025-07-17 14:30:00+08:00,l
EW4,2025-07-17 15:00:00+08:00,l
EW4,2025-07-17 15:30:00+08:00,l
EW4,2025-07-17 16:00:00+08:00,l
EW4,2025-07-17 16:30:00+08:00,l
EW4,2025-07-17 17:00:00+08:00,l
EW4,2025-07-17 17:30:00+08:00,m
EW4,2025-07-17 18:00:00+08:00,m
EW4,2025-07-17 18:30:00+08:00,l
EW4,2025-07-17 19:00:00+08:00,l
EW4,2025-07-17 19:30:00+08:00,l
EW4,2025-07-17 20:00:00+08:00,l
EW4,2025-07-17 20:30:00+08:00,l
EW4,2025-07-17 21:00:00+08:00,l
EW4,2025-07-17 21:30:00+08:00,l
EW4,2025-07-17 22:00:00+08:00,l
EW4,2025-07-17 22:30:00+08:00,l
EW4,2025-07-17 23:00:00+08:00,l
EW4,2025-07-17 23:30:00+08:00,l
EW5,2025-07-17 00:00:00+08:00,l
EW5,2025-07-17 00:30:00+08:00,l
EW5,2025-07-17 01:00:00+08:00,l
EW5,2025-07-17 01:30:00+08:00,l
EW5,2025-07-17 02:00:00+08:00,l
EW5,2025-07-17 02:30:00+08:00,l
EW5,2025-07-17 03:00:00+08:00,l
EW5,2025-07-17 03:30:00+08:00,l
EW5,2025-07-17 04:00:00+08:00,l
EW5,2025-07-17 04:30:00+08:00,l
EW5,2025-07-17 05:00:00+08:00,l
EW5,2025-07-17 05:30:00+08:00,l
EW5,2025-07-17 06:00:00+08:00,l
EW5,2025-07-17 06:30:00+08:00,l
EW5,2025-07-17 07:00:00+08:00,l
EW5,2025-07-17 07:30:00+08:00,l
EW5,2025-07-17 08:00:00+08:00,l
EW5,2025-07-17 08:30:00+08:00,l
EW5,2025-07-17 09:00:00+08:00,l
EW5,2025-07-17 09:30:00+08:00,l
EW5,2025-07-17 10:00:00+08:00,l
EW5,2025-07-17 10:30:00+08:00,l
EW5,2025-07-17 11:00:00+08:00,l
EW5,2025-07-17 11:30:00+08:00,l
EW5,2025-07-17 12:00:00+08:00,l
EW5,2025-07-17 12:30:00+08:00,l
EW5,2025-07-17 13:00:00+08:00,l
EW5,2025-07-17 13:30:00+08:00,l
EW5,2025-07-17 14:00:00+08:00,l
EW5,2025-07-17 14:30:00+08:00,l
EW5,2025-07-17 15:00:00+08:00,l
EW5,2025-07-17 15:30:00+08:00,l
EW5,2025-07-17 16:00:00+08:00,l
EW5,2025-07-17 16:30:00+08:00,l
EW5,2025-07-17 17:00:00+08:00,l
EW5,2025-07-17 17:30:00+08:00,l
EW5,2025-07-17 18:00:00+08:00,l
EW5,2025-07-17 18:30:00+08:00,l
EW5,2025-07-17 19:00:00+08:00,l
EW5,2025-07-17 19:30:00+08:00,l
EW5,2025-07-17 20:00:00+08:00,l
EW5,2025-07-17 20:30:00+08:00,l
EW5,2025-07-17 21:00:00+08:00,l
EW5,2025-07-17 21:30:00+08:00,l
EW5,2025-07-17 22:00:00+08:00,l
EW5,2025-07-17 22:30:00+08:00,l
EW5,2025-07-17 23:00:00+08:00,l
EW5,2025-07-17 23:30:00+08:00,l
EW6,2025-07-17 00:00:00+08:00,l
EW6,2025-07-17 00:30:00+08:00,l
EW6,2025-07-17 01:00:00+08:00,l
EW6,2025-07-17 01:30:00+08:00,l
EW6,2025-07-17 02:00:00+08:00,l
EW6,2025-07-17 02:30:00+08:00,l
EW6,2025-07-17 03:00:00+08:00,l
EW6,2025-07-17 03:30:00+08:00,l
EW6,2025-07-17 04:00:00+08:00,l
EW6,2025-07-17 04:30:00+08:00,l
EW6,2025-07-17 05:00:00+08:00,l
EW6,2025-07-17 05:30:00+08:00,l
EW6,2025-07-17 06:00:00+08:00,l
EW6,2025-07-17 06:30:00+08:00,l
EW6,2025-07-17 07:00:00+08:00,l
EW6,2025-07-17 07:30:00+08:00,l
EW6,2025-07-17 08:00:00+08:00,l
EW6,2025-07-17 08:30:00+08:00,l
EW6,2025-07-17 09:00:00+08:00,l
EW6,2025-07-17 09:30:00+08:00,l
EW6,2025-07-17 10:00:00+08:00,l
EW6,2025-07-17 10:30:00+08:00,l
EW6,2025-07-17 11:00:00+08:00,l
EW6,2025-07-17 11:30:00+08:00,l
EW6,2025-07-17 12:00:00+08:00,l
EW6,2025-07-17 12:30:00+08:00,l
EW6,2025-07-17 13:00:00+08:00,l
EW6,2025-07-17 13:30:00+08:00,l
EW6,2025-07-17 14:00:00+08:00,l
EW6,2025-07-17 14:30:00+08:00,l
EW6,2025-07-17 15:00:00+08:00,l
EW6,2025-07-17 15:30:00+08:00,l
EW6,2025-07-17 16:00:00+08:00,l
EW6,2025-07-17 16:30:00+08:00,l
EW6,2025-07-17 17:00:00+08:00,l
EW6,2025-07-17 17:30:00+08:00,l
EW6,2025-07-17 18:00:00+08:00,l
EW6,2025-07-17 18:30:00+08:00,l
EW6,2025-07-17 19:00:00+08:00,l
EW6,2025-07-17 19:30:00+08:00,l
EW6,2025-07-17 20:00:00+08:00,l
EW6,2025-07-17 20:30:00+08:00,l
EW6,2025-07-17 21:00:00+08:00,l
EW6,2025-07-17 21:30:00+08:00,l
EW6,2025-07-17 22:00:00+08:00,l
EW6,2025-07-17 22:30:00+08:00,l
EW6,2025-07-17 23:00:00+08:00,l
EW6,2025-07-17 23:30:00+08:00,l
EW7,2025-07-17 00:00:00+08:00,l
EW7,2025-07-17 00:30:00+08:00,l
EW7,2025-07-17 01:00:00+08:00,l
EW7,2025-07-17 01:30:00+08:00,l
EW7,2025-07-17 02:00:00+08:00,l
EW7,2025-07-17 02:30:00+08:00,l
EW7,2025-07-17 03:00:00+08:00,l
EW7,2025-07-17 03:30:00+08:00,l
EW7,2025-07-17 04:00:00+08:00,l
EW7,2025-07-17 04:30:00+08:00,l
EW7,2025-07-17 05:00:00+08:00,l
EW7,2025-07-17 05:30:00+08:00,l
EW7,2025-07-17 06:00:00+08:00,l
EW7,2025-07-17 06:30:00+08:00,l
EW7,2025-07-17 07:00:00+08:00,l
EW7,2025-07-17 07:30:00+08:00,l
EW7,2025-07-17 08:00:00+08:00,l
EW7,2025-07-17 08:30:00+08:00,l
EW7,2025-07-17 09:00:00+08:00,l
EW7,2025-07-17 09:30:00+08:00,l
EW7,2025-07-17 10:00:00+08:00,l
EW7,2025-07-17 10:30:00+08:00,l
EW7,2025-07-17 11:00:00+08:00,l
EW7,2025-07-17 11:30:00+08:00,l
EW7,2025-07-17 12:00:00+08:00,l
EW7,2025-07-17 12:30:00+08:00,l
EW7,2025-07-17 13:00:00+08:00,l
EW7,2025-07-17 13:30:00+08:00,l
EW7,2025-07-17 14:00:00+08:00,l
EW7,2025-07-17 14:30:00+08:00,l
EW7,2025-07-17 15:00:00+08:00,l
EW7,2025-07-17 15:30:00+08:00,l
EW7,2025-07-17 16:00:00+08:00,l
EW7,2025-07-17 16:30:00+08:00,l
EW7,2025-07-17 17:00:00+08:00,l
EW7,2025-07-17 17:30:00+08:00,l
EW7,2025-07-17 18:00:00+08:00,l
EW7,2025-07-17 18:30:00+08:00,l
EW7,2025-07-17 19:00:00+08:00,l
EW7,2025-07-17 19:30:00+08:00,l
EW7,2025-07-17 20:00:00+08:00,l
EW7,2025-07-17 20:30:00+08:00,l
EW7,2025-07-17 21:00:00+08:00,l
EW7,2025-07-17 21:30:00+08:00,l
EW7,2025-07-17 22:00:00+08:00,l
EW7,2025-07-17 22:30:00+08:00,l
EW7,2025-07-17 23:00:00+08:00,l
EW7,2025-07-17 23:30:00+08:00,l
EW8,2025-07-17 00:00:00+08:00,l
EW8,2025-07-17 00:30:00+08:00,l
EW8,2025-07-17 01:00:00+08:00,l
EW8,2025-07-17 01:30:00+08:00,l
EW8,2025-07-17 02:00:00+08:00,l
EW8,2025-07-17 02:30:00+08:00,l
EW8,2025-07-17 03:00:00+08:00,l
EW8,2025-07-17 03:30:00+08:00,l
EW8,2025-07-17 04:00:00+08:00,l
EW8,2025-07-17 04:30:00+08:00,l
EW8,2025-07-17 05:00:00+08:00,l
EW8,2025-07-17 05:30:00+08:00,l
EW8,2025-07-17 06:00:00+08:00,l
EW8,2025-07-17 06:30:00+08:00,l
EW8,2025-07-17 07:00:00+08:00,l
EW8,2025-07-17 07:30:00+08:00,l
EW8,2025-07-17 08:00:00+08:00,l
EW8,2025-07-17 08:30:00+08:00,l
EW8,2025-07-17 09:00:00+08:00,l
EW8,2025-07-17 09:30:00+08:00,l
EW8,2025-07-17 10:00:00+08:00,l
EW8,2025-07-17 10:30:00+08:00,l
EW8,2025-07-17 11:00:00+08:00,l
EW8,2025-07-17 11:30:00+08:00,l
EW8,2025-07-17 12:00:00+08:00,l
EW8,2025-07-17 12:30:00+08:00,l
EW8,2025-07-17 13:00:00+08:00,l
EW8,2025-07-17 13:30:00+08:00,l
EW8,2025-07-17 14:00:00+08:00,l
EW8,2025-07-17 14:30:00+08:00,l
EW8,2025-07-17 15:00:00+08:00,l
EW8,2025-07-17 15:30:00+08:00,l
EW8,2025-07-17 16:00:00+08:00,l
EW8,2025-07-17 16:30:00+08:00,l
EW8,2025-07-17 17:00:00+08:00,l
EW8,2025-07-17 17:30:00+08:00,m
EW8,2025-07-17 18:00:00+08:00,m
EW8,2025-07-17 18:30:00+08:00,m
EW8,2025-07-17 19:00:00+08:00,l
EW8,2025-07-17 19:30:00+08:00,l
EW8,2025-07-17 20:00:00+08:00,l
EW8,2025-07-17 20:30:00+08:00,l
EW8,2025-07-17 21:00:00+08:00,l
EW8,2025-07-17 21:30:00+08:00,l
EW8,2025-07-17 22:00:00+08:00,l
EW8,2025-07-17 22:30:00+08:00,l
EW8,2025-07-17 23:00:00+08:00,l
EW8,2025-07-17 23:30:00+08:00,l
EW9,2025-07-17 00:00:00+08:00,l
EW9,2025-07-17 00:30:00+08:00,l
EW9,2025-07-17 01:00:00+08:00,l
EW9,2025-07-17 01:30:00+08:00,l
EW9,2025-07-17 02:00:00+08:00,l
EW9,2025-07-17 02:30:00+08:00,l
EW9,2025-07-17 03:00:00+08:00,l
EW9,2025-07-17 03:30:00+08:00,l
EW9,2025-07-17 04:00:00+08:00,l
EW9,2025-07-17 04:30:00+08:00,l
EW9,2025-07-17 05:00:00+08:00,l
EW9,2025-07-17 05:30:00+08:00,l
EW9,2025-07-17 06:00:00+08:00,l
EW9,2025-07-17 06:30:00+08:00,l
EW9,2025-07-17 07:00:00+08:00,l
EW9,2025-07-17 07:30:00+08:00,l
EW9,2025-07-17 08:00:00+08:00,l
EW9,2025-07-17 08:30:00+08:00,l
EW9,2025-07-17 09:00:00+08:00,l
EW9,2025-07-17 09:30:00+08:00,l
EW9,2025-07-17 10:00:00+08:00,l
EW9,2025-07-17 10:30:00+08:00,l
EW9,2025-07-17 11:00:00+08:00,l
EW9,2025-07-17 11:30:00+08:00,l
EW9,2025-07-17 12:00:00+08:00,l
EW9,2025-07-17 12:30:00+08:00,l
EW9,2025-07-17 13:00:00+08:00,l
EW9,2025-07-17 13:30:00+08:00,l
EW9,2025-07-17 14:00:00+08:00,l
EW9,2025-07-17 14:30:00+08:00,l
EW9,2025-07-17 15:00:00+08:00,l
EW9,2025-07-17 15:30:00+08:00,l
EW9,2025-07-17 16:00:00+08:00,l
EW9,2025-07-17 16:30:00+08:00,l
EW9,2025-07-17 17:00:00+08:00,l
EW9,2025-07-17 17:30:00+08:00,l
EW9,2025-07-17 18:00:00+08:00,l
EW9,2025-07-17 18:30:00+08:00,l
EW9,2025-07-17 19:00:00+08:00,l
EW9,2025-07-17 19:30:00+08:00,l
EW9,2025-07-17 20:00:00+08:00,l
EW9,2025-07-17 20:30:00+08:00,l
EW9,2025-07-17 21:00:00+08:00,l
EW9,2025-07-17 21:30:00+08:00,l
EW9,2025-07-17 22:00:00+08:00,l
EW9,2025-07-17 22:30:00+08:00,l
EW9,2025-07-17 23:00:00+08:00,l
EW9,2025-07-17 23:30:00+08:00,l
